epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.648,1.3477,1.66026,0.89105,0.8078,0.33613,0.3819,0.23105,1.17431,0.84906,0.85979,0.00332758,0.00332758,0.00332758
2,312.094,1.25856,0.98273,0.86839,0.69662,0.37865,0.42328,0.26631,1.06135,0.70248,0.8482,0.00659497,0.00659497,0.00659497
3,460.176,1.25888,0.8607,0.86598,0.70884,0.39809,0.43965,0.2624,1.09496,0.68204,0.85429,0.00979636,0.00979636,0.00979636
4,579.81,1.19782,0.74506,0.86276,0.70452,0.42191,0.46969,0.2848,1.07762,0.60299,0.85,0.009703,0.009703,0.009703
5,699.437,1.12591,0.64841,0.85065,0.69801,0.43712,0.48416,0.3066,0.99123,0.55016,0.83533,0.009604,0.009604,0.009604
6,819.83,1.08437,0.60453,0.84184,0.72703,0.44884,0.49962,0.31339,0.95269,0.52491,0.83084,0.009505,0.009505,0.009505
7,944.387,1.04761,0.57465,0.83848,0.72555,0.44739,0.50547,0.32575,0.93939,0.52488,0.82942,0.009406,0.009406,0.009406
8,1064.17,1.02025,0.54958,0.83467,0.72439,0.45639,0.5244,0.33653,0.92538,0.49499,0.82683,0.009307,0.009307,0.009307
9,1184.31,1.01057,0.53688,0.83374,0.75093,0.46938,0.52574,0.34324,0.89387,0.47612,0.82184,0.009208,0.009208,0.009208
10,1304.32,0.98525,0.52148,0.82958,0.74676,0.4814,0.5444,0.35607,0.88792,0.47116,0.82172,0.009109,0.009109,0.009109
11,1424.16,0.9722,0.51491,0.82893,0.7462,0.47906,0.54098,0.35361,0.87955,0.46437,0.8186,0.00901,0.00901,0.00901
12,1544.84,0.95844,0.50206,0.82547,0.71551,0.49353,0.55177,0.36256,0.87571,0.45575,0.81884,0.008911,0.008911,0.008911
13,1666.47,0.94771,0.49696,0.82667,0.75252,0.49566,0.55815,0.36435,0.86018,0.44405,0.81789,0.008812,0.008812,0.008812
14,1786.1,0.94252,0.4902,0.82389,0.76089,0.48789,0.55015,0.36247,0.86248,0.44765,0.8174,0.008713,0.008713,0.008713
15,1905.58,0.93331,0.48768,0.82343,0.74716,0.4986,0.55683,0.36637,0.84671,0.44231,0.81323,0.008614,0.008614,0.008614
16,2024.9,0.9208,0.47797,0.82192,0.76764,0.49446,0.56213,0.36947,0.84674,0.43514,0.81467,0.008515,0.008515,0.008515
17,2144.21,0.9201,0.47491,0.8221,0.74677,0.49861,0.56064,0.36983,0.8424,0.43396,0.81341,0.008416,0.008416,0.008416
18,2264.27,0.90928,0.46853,0.81917,0.73602,0.50738,0.56547,0.37443,0.83371,0.42186,0.8113,0.008317,0.008317,0.008317
19,2386.29,0.90499,0.46522,0.81814,0.75469,0.5105,0.56581,0.37426,0.83998,0.42676,0.8125,0.008218,0.008218,0.008218
20,2506,0.89468,0.45891,0.81836,0.77593,0.52119,0.57857,0.38484,0.81851,0.41632,0.80923,0.008119,0.008119,0.008119
21,2625.3,0.89543,0.4597,0.81765,0.79149,0.50918,0.58333,0.38873,0.81233,0.41111,0.80809,0.00802,0.00802,0.00802
22,2744.82,0.88674,0.45403,0.81821,0.75469,0.51225,0.57689,0.38625,0.81434,0.40898,0.80974,0.007921,0.007921,0.007921
23,2863.93,0.87869,0.45114,0.8164,0.78209,0.51362,0.57889,0.38642,0.81569,0.40737,0.80922,0.007822,0.007822,0.007822
24,2983.61,0.87999,0.44743,0.81483,0.77053,0.51805,0.58078,0.38868,0.81192,0.40943,0.80792,0.007723,0.007723,0.007723
25,3102.95,0.88183,0.44987,0.81472,0.75205,0.52973,0.58279,0.38941,0.81289,0.40519,0.81033,0.007624,0.007624,0.007624
26,3222.41,0.87063,0.44365,0.81289,0.79285,0.51639,0.58967,0.39656,0.80002,0.39801,0.80706,0.007525,0.007525,0.007525
27,3342.03,0.86883,0.44293,0.81313,0.78737,0.52764,0.59642,0.4014,0.7938,0.39541,0.80513,0.007426,0.007426,0.007426
28,3461.09,0.86335,0.43935,0.81372,0.78192,0.52023,0.59234,0.39856,0.79916,0.397,0.80595,0.007327,0.007327,0.007327
29,3580.81,0.85647,0.43406,0.81197,0.76986,0.52987,0.59875,0.40508,0.79256,0.39447,0.80491,0.007228,0.007228,0.007228
30,3700.11,0.85366,0.435,0.8122,0.77952,0.52586,0.59691,0.40266,0.78762,0.39206,0.80518,0.007129,0.007129,0.007129
31,3819.78,0.85287,0.43138,0.81075,0.79136,0.52161,0.59627,0.40604,0.78539,0.38844,0.80482,0.00703,0.00703,0.00703
32,3939.07,0.84904,0.43071,0.81134,0.77317,0.53041,0.59792,0.40615,0.78322,0.38753,0.80368,0.006931,0.006931,0.006931
33,4058.27,0.84378,0.4273,0.81003,0.77728,0.52807,0.60042,0.40867,0.77674,0.38356,0.803,0.006832,0.006832,0.006832
34,4178.03,0.84565,0.42776,0.80958,0.79547,0.52487,0.60377,0.41194,0.77303,0.38393,0.80203,0.006733,0.006733,0.006733
35,4297.4,0.83522,0.42194,0.80884,0.78828,0.5278,0.60722,0.41451,0.76973,0.3797,0.8018,0.006634,0.006634,0.006634
