epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.628,1.04,0.86632,0.84954,0.7439,0.57182,0.62581,0.4131,0.91838,0.51359,0.82543,0.00333117,0.00333117,0.00333117
2,461.927,1.01735,0.56258,0.84029,0.78002,0.60294,0.65424,0.43457,0.89517,0.49252,0.82595,0.00659853,0.00659853,0.00659853
3,684.947,1.04264,0.56514,0.84661,0.75812,0.6215,0.66228,0.43665,0.89732,0.48478,0.8294,0.00979988,0.00979988,0.00979988
4,906.623,1.01888,0.54703,0.8457,0.77182,0.62563,0.6741,0.44741,0.87868,0.47714,0.82873,0.009703,0.009703,0.009703
5,1128.45,0.96941,0.51234,0.83917,0.77017,0.63069,0.6847,0.45757,0.86009,0.4529,0.82549,0.009604,0.009604,0.009604
6,1350.18,0.93912,0.49027,0.83436,0.78856,0.63446,0.69033,0.46856,0.83744,0.43632,0.82352,0.009505,0.009505,0.009505
7,1583.24,0.92414,0.48128,0.8324,0.73595,0.6491,0.69098,0.47091,0.82581,0.42758,0.82108,0.009406,0.009406,0.009406
8,1810.31,0.90684,0.47003,0.82983,0.78856,0.65708,0.70819,0.48467,0.82372,0.42141,0.81879,0.009307,0.009307,0.009307
9,2038.42,0.89176,0.45969,0.82641,0.78277,0.66464,0.71282,0.48686,0.80498,0.41337,0.81713,0.009208,0.009208,0.009208
10,2267.15,0.87761,0.45042,0.826,0.78949,0.67109,0.72235,0.49465,0.79896,0.40356,0.81584,0.009109,0.009109,0.009109
11,2496.4,0.87184,0.44441,0.82436,0.79386,0.67022,0.71365,0.49645,0.78651,0.39994,0.81284,0.00901,0.00901,0.00901
12,2726.09,0.86507,0.44027,0.82316,0.81739,0.66841,0.725,0.50071,0.78666,0.39543,0.81401,0.008911,0.008911,0.008911
13,2961.01,0.85423,0.43288,0.8211,0.81296,0.6714,0.7256,0.50088,0.78713,0.39278,0.81279,0.008812,0.008812,0.008812
14,3188.47,0.85052,0.43015,0.82127,0.8099,0.67948,0.72249,0.50526,0.77097,0.38497,0.80965,0.008713,0.008713,0.008713
15,3416.69,0.838,0.42231,0.81983,0.78766,0.68204,0.72489,0.5062,0.76997,0.38286,0.81075,0.008614,0.008614,0.008614
16,3645.89,0.8328,0.41836,0.81942,0.8255,0.67974,0.73849,0.51434,0.76893,0.38122,0.80994,0.008515,0.008515,0.008515
17,3874.34,0.83255,0.41702,0.81806,0.80966,0.67546,0.73514,0.51485,0.76578,0.37768,0.81109,0.008416,0.008416,0.008416
18,4100.68,0.82164,0.41208,0.81714,0.7859,0.6953,0.73704,0.51516,0.76133,0.37058,0.80946,0.008317,0.008317,0.008317
19,4328.04,0.82221,0.41269,0.81761,0.81076,0.68608,0.73956,0.51752,0.75289,0.37059,0.80704,0.008218,0.008218,0.008218
20,4556.4,0.81561,0.40695,0.81639,0.80894,0.68946,0.74619,0.52396,0.76051,0.36906,0.8085,0.008119,0.008119,0.008119
21,4785.46,0.81451,0.40436,0.81476,0.82419,0.68097,0.74536,0.52363,0.7529,0.36699,0.80722,0.00802,0.00802,0.00802
22,5012.35,0.81016,0.40211,0.81477,0.81406,0.68651,0.74623,0.52588,0.75088,0.36299,0.80657,0.007921,0.007921,0.007921
23,5238.71,0.80736,0.399,0.81349,0.82738,0.68478,0.74263,0.52446,0.75416,0.36347,0.80776,0.007822,0.007822,0.007822
24,5474.64,0.80376,0.40004,0.81454,0.817,0.68686,0.7467,0.52723,0.75133,0.35959,0.80719,0.007723,0.007723,0.007723
25,5702.38,0.80191,0.39511,0.81417,0.82064,0.68395,0.74725,0.5306,0.74409,0.35877,0.80521,0.007624,0.007624,0.007624
26,5931.08,0.79889,0.39447,0.81282,0.79712,0.69955,0.74935,0.53174,0.74251,0.35653,0.8056,0.007525,0.007525,0.007525
27,6160.75,0.79385,0.39217,0.81256,0.81642,0.69521,0.75061,0.53151,0.73862,0.3517,0.80513,0.007426,0.007426,0.007426
28,6386.77,0.79357,0.39034,0.81168,0.81281,0.69309,0.74727,0.53096,0.73984,0.35379,0.80499,0.007327,0.007327,0.007327
29,6618.8,0.78598,0.3859,0.81077,0.80893,0.69683,0.75016,0.5342,0.7364,0.35217,0.80596,0.007228,0.007228,0.007228
30,6841.33,0.78301,0.3857,0.81078,0.83478,0.69117,0.7577,0.53965,0.73316,0.34794,0.80481,0.007129,0.007129,0.007129
31,7063.79,0.78492,0.38422,0.81161,0.81784,0.69963,0.75515,0.53852,0.73343,0.34956,0.80381,0.00703,0.00703,0.00703
32,7285.66,0.78045,0.38213,0.81076,0.80903,0.71233,0.75894,0.54227,0.72944,0.3441,0.80378,0.006931,0.006931,0.006931
33,7508.57,0.78112,0.38247,0.80934,0.80269,0.7126,0.7556,0.54185,0.72647,0.34318,0.80268,0.006832,0.006832,0.006832
34,7731.06,0.77693,0.38098,0.81014,0.82458,0.69857,0.75701,0.54202,0.72414,0.34159,0.80245,0.006733,0.006733,0.006733
35,7953.7,0.77813,0.38065,0.81018,0.80707,0.71598,0.76091,0.54344,0.7275,0.34153,0.80401,0.006634,0.006634,0.006634
36,8176.38,0.77024,0.37579,0.80915,0.82181,0.70089,0.76046,0.54514,0.72497,0.34069,0.80272,0.006535,0.006535,0.006535
37,8399.49,0.77059,0.37459,0.80914,0.80981,0.70649,0.76225,0.54485,0.71996,0.33491,0.80219,0.006436,0.006436,0.006436
38,8622.03,0.76865,0.37475,0.80842,0.80728,0.7098,0.7608,0.54518,0.72046,0.33582,0.80213,0.006337,0.006337,0.006337
39,8844.41,0.76407,0.37079,0.80704,0.80971,0.71236,0.76333,0.54789,0.72123,0.33408,0.80176,0.006238,0.006238,0.006238
40,9067.03,0.76065,0.3687,0.80701,0.81104,0.71166,0.76427,0.54843,0.71844,0.33372,0.80156,0.006139,0.006139,0.006139
41,9289.41,0.76249,0.36947,0.80675,0.82712,0.70465,0.76516,0.55083,0.71596,0.32954,0.80128,0.00604,0.00604,0.00604
42,9511.94,0.759,0.36812,0.80691,0.8178,0.71387,0.7659,0.55272,0.71516,0.33113,0.80139,0.005941,0.005941,0.005941
43,9734.19,0.75623,0.36708,0.8073,0.82079,0.71045,0.76255,0.54933,0.71329,0.32906,0.80127,0.005842,0.005842,0.005842
44,9956.25,0.75284,0.36452,0.80573,0.8342,0.69966,0.7635,0.55173,0.7125,0.32886,0.80065,0.005743,0.005743,0.005743
45,10184.9,0.75329,0.36395,0.80687,0.81066,0.71919,0.76559,0.55181,0.71388,0.3301,0.80132,0.005644,0.005644,0.005644
46,10411.2,0.7457,0.36055,0.80612,0.8202,0.71379,0.7637,0.55246,0.71232,0.32788,0.80131,0.005545,0.005545,0.005545
47,10643.9,0.74681,0.36103,0.80596,0.82143,0.7149,0.76614,0.55331,0.71192,0.3247,0.80138,0.005446,0.005446,0.005446
48,10871.5,0.74108,0.35828,0.80471,0.82507,0.70843,0.76729,0.5557,0.70921,0.3244,0.80071,0.005347,0.005347,0.005347
49,11102.1,0.7413,0.35713,0.80464,0.81528,0.72461,0.76978,0.5553,0.70708,0.32397,0.79999,0.005248,0.005248,0.005248
50,11330.2,0.73696,0.35456,0.8049,0.8224,0.71932,0.76741,0.55605,0.70329,0.32075,0.8,0.005149,0.005149,0.005149
51,11553,0.73692,0.35472,0.80424,0.81031,0.72249,0.766,0.5561,0.70409,0.32121,0.79932,0.00505,0.00505,0.00505
52,11775,0.73308,0.35259,0.80389,0.81628,0.722,0.76854,0.55659,0.70275,0.31935,0.79975,0.004951,0.004951,0.004951
53,12001.2,0.72913,0.35119,0.8032,0.81768,0.71983,0.76902,0.5582,0.70026,0.31885,0.79922,0.004852,0.004852,0.004852
54,12230.2,0.72779,0.35007,0.80283,0.80773,0.72667,0.76851,0.55879,0.69796,0.31846,0.79877,0.004753,0.004753,0.004753
55,12459.8,0.72682,0.34865,0.80342,0.82235,0.71805,0.76879,0.55799,0.6997,0.31827,0.79919,0.004654,0.004654,0.004654
56,12688.9,0.72499,0.34672,0.80306,0.81708,0.72618,0.77137,0.56158,0.69875,0.31798,0.79856,0.004555,0.004555,0.004555
57,12915.9,0.72296,0.34594,0.80163,0.81664,0.72279,0.76997,0.5607,0.69777,0.31736,0.79832,0.004456,0.004456,0.004456
58,13143.8,0.71499,0.34454,0.80134,0.81121,0.72603,0.7659,0.55784,0.69669,0.31526,0.79827,0.004357,0.004357,0.004357
59,13372.3,0.71673,0.34171,0.80085,0.81238,0.7207,0.76662,0.55967,0.69499,0.31522,0.79819,0.004258,0.004258,0.004258
60,13601.7,0.71485,0.34153,0.80173,0.81325,0.71798,0.76771,0.56106,0.69396,0.31417,0.79797,0.004159,0.004159,0.004159
61,13827.7,0.71211,0.34042,0.80116,0.81487,0.72906,0.7715,0.56202,0.69387,0.31242,0.79794,0.00406,0.00406,0.00406
62,14054.4,0.70855,0.33974,0.80037,0.81419,0.72345,0.76993,0.56204,0.69457,0.31353,0.79805,0.003961,0.003961,0.003961
63,14282.4,0.70715,0.33724,0.80047,0.8164,0.72464,0.77064,0.5624,0.69325,0.31213,0.79788,0.003862,0.003862,0.003862
64,14511,0.71017,0.33741,0.80086,0.80946,0.72566,0.76915,0.56293,0.6924,0.31151,0.79781,0.003763,0.003763,0.003763
65,14740.4,0.70477,0.33506,0.79987,0.80962,0.73026,0.76882,0.56191,0.69123,0.31095,0.79736,0.003664,0.003664,0.003664
66,14966.3,0.70398,0.3348,0.8002,0.81173,0.72502,0.76944,0.56264,0.69039,0.31078,0.79733,0.003565,0.003565,0.003565
67,15200.7,0.69903,0.3322,0.79895,0.81023,0.73007,0.77184,0.56488,0.68909,0.30885,0.79707,0.003466,0.003466,0.003466
68,15436.1,0.69723,0.33155,0.79969,0.80814,0.72722,0.77138,0.56515,0.68919,0.30894,0.79708,0.003367,0.003367,0.003367
69,15663.5,0.69351,0.32949,0.7993,0.80689,0.72792,0.77201,0.56526,0.68842,0.30758,0.79712,0.003268,0.003268,0.003268
70,15892,0.69284,0.32825,0.79744,0.80536,0.73137,0.77199,0.56468,0.68877,0.30785,0.79715,0.003169,0.003169,0.003169
71,16121.1,0.69077,0.32785,0.79886,0.81111,0.72218,0.77001,0.56397,0.68879,0.30841,0.79723,0.00307,0.00307,0.00307
72,16350.5,0.69127,0.32721,0.79909,0.81051,0.71679,0.76861,0.56346,0.68927,0.30784,0.79737,0.002971,0.002971,0.002971
73,16576.4,0.69162,0.32606,0.79779,0.80884,0.72213,0.76891,0.563,0.68978,0.30818,0.79749,0.002872,0.002872,0.002872
74,16811.9,0.68744,0.32343,0.79768,0.81813,0.71312,0.76754,0.56203,0.68935,0.30769,0.79754,0.002773,0.002773,0.002773
75,17047.9,0.68388,0.32215,0.79744,0.82268,0.7077,0.76701,0.56296,0.68895,0.30759,0.7975,0.002674,0.002674,0.002674
76,17276,0.68316,0.32217,0.79748,0.81523,0.71624,0.76834,0.56389,0.6893,0.3074,0.79722,0.002575,0.002575,0.002575
77,17504.8,0.67893,0.31985,0.79684,0.81827,0.71348,0.7695,0.56447,0.6882,0.30671,0.79722,0.002476,0.002476,0.002476
78,17738,0.67666,0.31785,0.79705,0.81405,0.717,0.77026,0.56541,0.68791,0.30649,0.79719,0.002377,0.002377,0.002377
79,17959.2,0.67367,0.31627,0.79697,0.81672,0.71554,0.76984,0.5652,0.68781,0.30609,0.7973,0.002278,0.002278,0.002278
80,18180.4,0.67344,0.31612,0.7962,0.81805,0.71353,0.76893,0.56477,0.68738,0.3057,0.79727,0.002179,0.002179,0.002179
81,18401.5,0.66962,0.31419,0.7957,0.8088,0.7218,0.76845,0.56481,0.68715,0.30514,0.7972,0.00208,0.00208,0.00208
82,18622.8,0.66775,0.31107,0.79468,0.81277,0.71941,0.76866,0.56449,0.68726,0.30464,0.79714,0.001981,0.001981,0.001981
83,18844.6,0.66515,0.3114,0.79429,0.81169,0.71797,0.76728,0.56395,0.6872,0.30442,0.79712,0.001882,0.001882,0.001882
84,19066.2,0.6602,0.30849,0.79596,0.81146,0.71888,0.76756,0.56444,0.68726,0.30465,0.79712,0.001783,0.001783,0.001783
85,19287.6,0.66148,0.3074,0.79439,0.81197,0.71987,0.76822,0.56475,0.68783,0.30517,0.79721,0.001684,0.001684,0.001684
86,19508.7,0.65912,0.30756,0.79483,0.81628,0.71565,0.76802,0.56481,0.68835,0.30502,0.79728,0.001585,0.001585,0.001585
87,19730.4,0.65439,0.30527,0.79343,0.80733,0.72569,0.76837,0.56503,0.68848,0.30519,0.79733,0.001486,0.001486,0.001486
88,19951.7,0.6543,0.30514,0.79481,0.80805,0.72207,0.7679,0.565,0.68883,0.30523,0.7973,0.001387,0.001387,0.001387
89,20173.2,0.64932,0.30183,0.79372,0.80681,0.72267,0.76812,0.56498,0.68893,0.30487,0.79722,0.001288,0.001288,0.001288
90,20394.5,0.6493,0.30122,0.79281,0.80653,0.72301,0.76807,0.56479,0.68877,0.30471,0.79717,0.001189,0.001189,0.001189
91,20641.9,0.64701,0.29658,0.78942,0.80377,0.72429,0.76796,0.56459,0.68944,0.30512,0.79725,0.00109,0.00109,0.00109
92,20858.6,0.64311,0.29485,0.78911,0.81213,0.71735,0.76854,0.56512,0.68979,0.30511,0.79722,0.000991,0.000991,0.000991
93,21075.3,0.63925,0.29282,0.79014,0.8128,0.71707,0.76871,0.56553,0.69042,0.30496,0.7973,0.000892,0.000892,0.000892
94,21292.2,0.6355,0.29025,0.78943,0.81545,0.7158,0.76894,0.5659,0.69091,0.30484,0.79738,0.000793,0.000793,0.000793
95,21508.8,0.62898,0.28741,0.78833,0.82038,0.71264,0.76887,0.56617,0.69132,0.30465,0.79744,0.000694,0.000694,0.000694
96,21725.8,0.62769,0.28618,0.78774,0.82083,0.71195,0.76885,0.56648,0.69176,0.30477,0.79744,0.000595,0.000595,0.000595
97,21943,0.62489,0.28479,0.78781,0.82329,0.71013,0.76931,0.56682,0.69242,0.30515,0.79744,0.000496,0.000496,0.000496
98,22160,0.62008,0.28207,0.78713,0.82476,0.70709,0.76928,0.56657,0.69299,0.3051,0.79749,0.000397,0.000397,0.000397
99,22376.9,0.61921,0.28134,0.78683,0.8277,0.70624,0.76908,0.56633,0.69362,0.30566,0.79759,0.000298,0.000298,0.000298
100,22593.5,0.61594,0.27917,0.78722,0.82897,0.70426,0.76915,0.56595,0.69424,0.30577,0.79761,0.000199,0.000199,0.000199
